첵제목,작가명,내용요약
인지모형을 통한 북한 지도부 관점의 핵도발 가능성 평가방안,"박준호, 이선희, 이제헌","평시는 국내외 국면돌파를 위해 의도적인 핵도발의 상황이며, 위기 시는 정권유지를 위한 카드로 사용하는 상황이다. 전면전 시는 참혹한 패배가 예상되는 상황에서 전세전환을 위한 수단으로 핵도발의 상황을 의미한다."
영유아 교육·보육 통계 통합 생산방안,,"유아교육, 보육에 정부 재정 투자와 다양한 정책이 있는 현 시점에 이차원적 모형 개발이 필요하다. 본 연구는 인과 결과의 논리적 연관인 Logic model 적용, 정책 진행 과정 파악과 효과적 평가를 구하려 한다."
2016년 기후변화협약(UNFCCC) 다자평가 대응방안 연구 : 우리나라 감축행동공유(FSV) 대응방안,,"온실가스 감축 논의에서 우리나라의 국내여건 중 정부조직, 인구, 경제의 중요부문(에너지, 수송 등) 에 대한 정보는 제공했으나 구체적 대응조치 및 실행과정에서 생길 수 있는 문제점과 대책에 대한 정보는 없었으며, BAU 대비 30%의 감축목표는 설정하여 보고하였다."
미래 사회 교육 환경 변화에 따른 교과서 발전 방안,,"미래 교과서의 내용 선정의 측면에서는 교과 기반 역량 중심의 교육 과정으로 전체 내용을 반영하는 것이 아닌 주로 교육 과정의 기본 내용과 핵심 내용, 학습자의 맞춤과 요구 내용, 이에 대한 안내 자료 등을 반영하는 방식이 될 것으로 나타났다."
2017년 남북법제 연구보고서,법제처,"유엔 차원에서 북한인권 문제에 대해 하나의 목소리를 내기 시작했다는 것은, 북한인권 문제에 대한 노력과 대응이 국제사회의 관심을 끌어내는데 큰 역할을 한 것으로 볼 수 있다. "
제주시 공동브랜드“해올렛”활성화 방안,제주시,"브랜드 자산 구성에는 인지도와 이미지가 중요하다. 제주의 이미지와 생산자들의 자부심, 신선한 상품을 저렴하게 제공하고 좋은 제품을 위한 구매 의지 등이 해올렛의 자산이다."
기술영향평가의 실효성 제고를 위한 제도 개선방안,,"이러한 정책적 권고는 예산 우선순위에 대한 배분에 가정이 수반되므로 OTA평가도 특정 정책적 권고를 피하는 방식으로 전환되었는데, 예를 들어 1975년 보고서에서 특정 정책적 권고를 제안하지 않았으며, 이후 TA보고서들의 정보제공으로 TAB역할이 중요해졌다."
2017 산업재산권판례연구논문공모전우수 논문집,,미국특허청의 특허성에 관한 심사는 청구 범위에 있어 침해 소송보다 넓은 범위로 발명을 지정할 수 있도록 밝히고 있다.
2018년도 사업체패널 워킹페이퍼 시리즈,"지민웅, 박진, 김유선, 이시균, 박진희, 김수현, 이창근",먼저 전체적 고용조정의 패턴을 보기위해 회귀식을 사용하여 기간 순고용증가율이 생산성 위치에 따른 변화를 분석한다.
2009년 양성평등 지역문화 확산사업 평가컨설팅,이화여자대학교 산학협력단,"지역의 여성 현안, 또 그 과정에서 지역 여성과 함께 만들어 가는 과정이 중시되는 문화 사업이 될 때 양성 평등은 구호에 그치지 않고 지역의 문화, 젠더 이데올로기를 바꾸어 가는 사업이 될 것이다."
박물관 및 미술관 진흥법 개선방안에 관한 연구,박수곤,일본의 박물관법은 교육 관련 활동을 명시적으로 규정하며 우리 박물관 및 미술관 진흥법도 이와 유사하나 박물관과 미술관의 육성목적이 일본과 달라 포괄하고 있지 않다.
형사보상제도의 운영현황과 개선방안,,"제4장은 현행 형사보상제도의 운영현황을 통계자료 및 보상금 지급 추이 등 사례분석을 통하여 형사보상사건의 특징 및 문제점을 발견하였고, 무죄재판 게재 현황을 검토하였다."
이른바 ‘수사와 기소 분리론’ 에 대한 비교법적 분석과 비판,신태훈,"호주의 검찰은 연방이나 주를 불문하고 수사 권한 및 사법경찰에 대한 수사지휘 권한이 없고 기소 권한만 있으며 단, 사법경찰의 수사에 대한 조언은 가능하다."
2주기 탈북청소년 교육 종단연구(Ⅰ),김정원,"C2는 대학에서 아무도 자신을 북한사람으로 보지 않지만 자신의 내면에 북한 사람이라는 정체성이 남아 있어 이를 드러낼 수 없다고 했으나, 정반대로 탈북학생을 위한 중학교로 진학하게 된 C3는 북한사람 범주에 속하지 않기 위해 일반학교로 옮기려 했다."
고용직업능력개발연구 17권 3호,,본 연구의 목적은 ‘사교육비 경감 및 학교교육 정상화’를 위하여 ‘수능 비중 약화와 학생부 중심’의 대입전형을 지향해 온 대입정책이 그 의도한 대로 고등학생들의 사교육 이용을 줄였는지 검증하는 것이다.
미국영화산업백서,김형진,"복제권의 경우 로마협정에서 인정되는 공연권 등에 있어 저작권과 저작인접권 간에 큰 차이가 있으며, 우리나라 저작권법에서 방송권의 차이점도 이와 유사하다. 즉, 방송사업자의 판매용 음악 방송에 대해 음반제작자는 배타적지배권이 아닌 단순 보상청구권만을 갖게 된다."
국제노동브리프 2015년 8월호(Vol.13. No.8),,귀화 이주 노동자 지원을 위한 시범 사업으로 설치된 원스톱 숍 3개소는 사회 및 경제 생활에 관한 정보를 제공하였다.
중소기업청과 함께 가는 징검다리,중소기업청,"중소기업청은 중소기업 재도전 중요성의 인식 확산을 위해 '2013 재도전 컨퍼런스'를 개최했다. 도전의 사회적 가치에 대한 공감대 형성을 목적으로 하며, 현정부의 전략과 함께 한다."
2014 정책연구과제 1,,북한 내부 변화를 위한 핵 관련 국제공조의 규범적 토대가 마련될 가능성이 크지 않다. 그러나 북한의 내부사정과 국제규범을 접근시켜 국제 규범에 동조하도록 유도하면 핵 문제 해결이 가능하다.
지역민방 편성규제의 합리적 개선방안 연구,정보통신정책연구원,"FCC는 1970년에 재정적 수익권 및 신디케이션에 관한 규칙도 만들었는데, 약자로 핀-신 규칙이라 불리는 시행 규칙은 프로그램 거래시장 구조를 바로 잡고 독립 영상제작사들의 수익을 보장하기 위한 목적으로 제정되었다. 지상파 네트워크 사업자는 외주제작사와 계약하여 프로그램 판권(특히 신디케이션 권리)을 확보할 수 없게 되었으며, 자체적으로 만든 프로그램이나 자회사인 영상제작사가 만든 프로그램을 직접 신디케이션 방식으로 방송국들에게 판매할 수 없게 되었다."
통일 기반 구축을 위한 한국외교의 변환,,"동북아 중 중국의 부상으로 동북아의 정치경제적 비중이 급속히 증가하고 있는데, 이러한 규모증가는 자연 경제 지역을 생성하고 세계에 안정적인 견인 역할을 할 것으로 기대되고 있다."
2019년 조세특례 임의심층평가,기획재정부,시행령 개정에 따라 2012년 6월에는 한국거래소에서 전자상거래로 거래되는 석유제품은 수입부과금 환급이 가능해졌고 2014년 7월에는 장외가격 이상의 거래는 환급대상에서 제외했다.
생애주기별 학대·폭력에 대한 통합적 접근과 정책대응,류정희,거주자간 학대를 노인학대에 포함시킬 것인가는 연구가 더 필요하고 이 쟁점은 중요한 사회문제로 부상될 것이다. 거주자 간의 학대는 시설에서도 학대받을 위험성이 더 높았고 이는 다수의 행위자에게 학대당한다는 것을 알 수있다.
2018 정부혁신 100대 사례집,행정안전부,인터넷을 사용하기 힘든 노년층은 개별공시지가에 대한 이의신청 시 365서비스를 이용할 수 있다. 구청에서 담당자가 신청을 도와주고 진행상황도알려주는 주민중심의 민원행정이지만 이용이 저조하다. 금천구는 올해 이서비스를 널리 알릴 예정이다.
2016~2020년 국가재정운용계획,한국개발연구원,우리나라의 초중등교육은 국가공공재적 성격이 강하며 동질적이다. 지방교육재정을 중앙정부가 정하며 교육서비스도 동질적이다. 국제적으로도 초중등공교육을 국가공공재로 인식하는 국가군에 속한다.
청년대상 개인지원 임금보조금의 정책설계에서의 쟁점 진단 : 청년내일채움공제를 중심으로,김태욱,"이밖에도 추진체계 및 타사업 연계 이슈가 있다. 이를 성과관리, 개인형 청년공제, 지원 확대 타당성, 기타 이슈 4가지로 진단할 것이며 분석틀은 [그림 1]과 같다."
러시아 사할린 지역의 북한 노동자,"이애리아, 이창호, 방일권","상표법 상, 상표 등록 캐릭터라고 해서 캐릭터 자체가 상표로 보호받는 것이 아니며, 침해 여부는 까다롭게 적용되기 때문에 티셔츠, 인형 등에 상표 등록 캐릭터를 무단으로 사용하거나 캐릭터 변형 사용의 경우도 침해가 아니라고 판단되는 경우가 많다. "
통일과 법률(제21호),,지금의 중국의 개혁개방 법제는 북한의 참고하기에는 상황이 맞지 않다. 중국은 WTO 규범을 따르고 있으며 사회주의 시장경제체계가 이미 정착되고 있기 때문이다. 그래서 이 연구는 중국의 WTO가입 이전 체제를 중점적으로 다루고자 한다.
안전 관련 국가 체계의 거버넌스 재설계 방안,,"소방공무원들은 소방, 재난업무 광역화에 대한 원활한 대처와 소방서비스 질 개선을 위한 국가소방체제로의 전환을 주장하고 있다."
문화예술계 블랙리스트 진상조사 및 제도개선위원회 백서 4 : 블랙리스트 사태의 총체적 조망,,극장 설립 및 운영을 위한 첫 회의가 열렸는데 극장의 필요성에 대한 공감대 말고는 아무 것도 준비되지 않았다. 그만큼 연대와 협업이 절실했다. 이름은 광장에 세워진다하여 '광장극장'을 블랙리스트에 대한 저항의 의미로 '블랙텐트'로 결정되었다. 촛불집회를 대비하여 텐트를 설치하고 광화문 캠핑촌의 무대를 옮기는 등의 일이 일주일 사이에 이루어졌다. 경찰의 방해가 있을까 우려했기 때문에 이 모든 준비 과정은 비공개로 진행되었다.
감사논집(제19호),,"진료항목별로 감사사항을 선정할 수 있다. 치료재료 비용관리에 의문이 있으면 치료재료 급여비용 관리실태를, 행위의 경우 신의료행위에 대한 관리실태를 감사할 수 있다. 의료자원별로도 가능한데 보통 핵심 분야 중 의료자원 분야만으로 생각하지만 전 핵심 분야와 관련된다."
독일의 육아정책 : 세계육아정책동향시리즈 10,,스포츠 유치원은 3~5세의 혼합연령이 놀이의 자연스러운 동작을 통해 전인적인 유아 발달하게 하는 것을 목표로 한다.
우리나라 P2P 전력거래 가능성 연구,,태양광 패널 설치업체인 옐로하는 설치주의 에너지 요금을 절감시켜주고 생성된 전력의 나머지에서 이윤을 낸다. 이는 미국에서 빠르게 성장하는 솔라시티 사업모델과 유사하다.
